square;price;floor;type;;
59.82;7.05;2;2к;;
43;7.05;5;1к;;
42.82;7.05;10;1к;;
43.13;7.05;27;1к;;
57.54;7.1;1;2к;;
46.91;7.1;2;1к;;
42.7;7.1;4;1к;;
42.6;7.1;6;1к;;
43.3;7.15;6;1к;;
45.5;7.2;5;1к;;
44.48;7.2;17;1к;;
44.7;7.2;17;1к;;
53.56;7.25;5;2к;;
43.2;7.25;7;1к;;
42.82;7.25;20;1к;;
42.82;7.25;20;1к;;
59.4;7.3;1;1к;;
44.5;7.3;7;1к;;
59.82;7.35;5;2к;;
40.6;7.35;8;1к;;
44.93;7.35;18;1к;;
44.6;7.4;4;1к;;
45.6;7.4;7;1к;;
29.65;7.4;20;1к;;
54.96;7.4;23;2к;;
48.2;7.5;2;1к;;
59.82;7.5;6;2к;;
44.93;7.5;20;1к;;
54.96;7.5;25;2к;;
61.3;7.55;3;2к;;
60.99;7.6;5;2к;;
64.46;7.65;1;2к;;
63.97;7.65;5;2к;;
59.53;7.65;8;2к;;
35.4;7.65;15;1к;;
61.3;7.7;5;2к;;
55.71;7.7;7;2к;;
65.4;7.7;8;2к;;
44.77;7.7;8;Ст;;
58.95;7.75;25;2к;;
43.66;7.8;4;1к;;
63.97;7.8;6;2к;;
64.64;7.8;8;2к;;
50.88;7.8;18;1к;;
50.88;7.8;19;1к;;
56.18;7.85;8;2к;;
57.61;7.85;8;2к;;
60.67;7.85;8;2к;;
60.67;7.85;9;2к;;
65.23;7.85;11;2к;;
69.17;7.9;6;2к;;
49.38;7.9;19;1к;;
43.26;7.9;28;1к;;
61.71;7.95;5;2к;;
61.88;7.95;7;2к;;
63.55;7.95;8;2к;;
64.64;7.95;10;2к;;
50.88;7.95;20;1к;;
62.32;8;5;2к;;
43.66;8;7;1к;;
64.63;8;14;2к;;
68.64;8.05;8;2к;;
49.38;8.05;20;1к;;
62.64;8.1;3;2к;;
63.99;8.1;8;2к;;
64.64;8.1;12;2к;;
42.25;8.1;13;1к;;
37.14;8.1;21;Ст;;
62.54;8.15;9;2к;;
60.26;8.15;14;2к;;
43.75;8.18;20;1к;;
69.7;8.2;1;2к;;
60.4;8.2;9;2к;;
43.7;8.2;13;1к;;
42.04;8.2;14;1к;;
42.01;8.2;27;1к;;
58.29;8.25;3;2к;;
62.64;8.25;5;2к;;
58.97;8.25;7;2к;;
64.04;8.25;15;2к;;
61.94;8.3;7;2к;;
62.54;8.3;12;2к;;
43.17;8.3;14;1к;;
60.26;8.3;17;2к;;
63.25;8.3;22;2к;;
49.89;8.35;4;1к;;
62.15;8.35;7;2к;;
72.19;8.4;1;2к;;
65.08;8.4;3;2к;;
65.6;8.4;8;2к;;
42.01;8.4;10;1к;;
63.35;8.4;14;2к;;
64.5;8.45;8;2к;;
40.4;8.45;8;1к;;
61.83;8.45;14;2к;;
60.26;8.45;18;2к;;
85.52;8.5;2;2к;;
65.4;8.5;5;2к;;
53.74;8.5;6;2к;;
65.13;8.5;6;2к;;
66.6;8.5;9;2к;;
43.46;8.5;10;1к;;
64.48;8.55;3;2к;;
64.63;8.55;3;2к;;
63.99;8.55;3;2к;;
65.08;8.55;5;2к;;
49.89;8.55;7;1к;;
63.23;8.55;15;2к;;
54.31;8.6;3;1к;;
66.55;8.6;3;2к;;
61.83;8.6;17;2к;;
59.96;8.6;21;2к;;
65.13;8.65;8;2к;;
53.74;8.65;9;2к;;
58.76;8.7;2;1к;;
64.63;8.7;5;2к;;
63.99;8.7;5;2к;;
46.19;8.7;10;1к;;
66.55;8.75;5;2к;;
62.49;8.75;23;2к;;
59.96;8.75;24;2к;;
76.54;8.8;1;2к;;
